ID,Type,Label
1,raga,(Miyaki)TodiR
2,raga,Aarabhi
3,raga,Abheri
4,raga,Abhogi
5,raga,AbhogiKanhada
6,raga,Adana
7,raga,AhirBhairav
8,raga,AhirLalit
9,raga,Ahiri
10,raga,AlhaiyaBilaval
11,raga,Amravati
12,raga,Amritavarshini
13,raga,AnandBhairav
14,raga,AnandBhairaviR
15,raga,AnandLeela
16,raga,AnjaniTodiR
17,raga,Araj
18,raga,Asa
19,raga,AsaTodiR
20,raga,AsavariR
21,raga,AsavariTodiR
22,raga,Asavarisindhura
23,raga,Badhans
24,raga,BadhansSarang
25,raga,Bageshri
26,raga,Bahar
27,raga,BaharBageshree
28,raga,Baharbasanth
29,raga,Balihari
30,raga,Bangalbhairav
31,raga,Barari
32,raga,Barva
33,raga,Basant
34,raga,BasantLeela
35,raga,BasantMukhari
36,raga,BasantiKedar
37,raga,Bengali
38,raga,BhairavR
39,raga,BhairaviR
40,raga,BhairaviRBahar
41,raga,Bhankar
42,raga,Bhatiyar
43,raga,Bhim
44,raga,Bhimpalasi
45,raga,BhinnaShadaj
46,raga,BhogLeela
47,raga,Bhogi
48,raga,Bholamukhi
49,raga,Bhoopal-TodiR
50,raga,Bhoopali
51,raga,Bhujang
52,raga,Bhup
53,raga,BhupalTodiR
54,raga,Bibhas
55,raga,BibhasM
56,raga,Bihag
57,raga,Bihagda
58,raga,BilaskhaniTodiR
59,raga,BrindabaniSarang
60,raga,Chakradhar
61,raga,ChandniKedar
62,raga,ChandrakaBhairaviR
63,raga,Chandrakanth
64,raga,Chandrakauns
65,raga,Charukeshi
66,raga,Chhayanat
67,raga,Chitmohini
68,raga,DarbariKanada
69,raga,DarbariTodiR
70,raga,DeepakB
71,raga,DeepakKedar
72,raga,DeepakP
73,raga,Desh
74,raga,Deshkar
75,raga,Desi
76,raga,Devagiribilaval
77,raga,Devaranjani
78,raga,Devgandhar
79,raga,Devgiri
80,raga,Dhanabasanti
81,raga,Dhanashree
82,raga,Dhani
83,raga,Durga
84,raga,Gaara
85,raga,Gandhari
86,raga,Gara
87,raga,GaudMalhar
88,raga,GaudSarang
89,raga,GauriB
90,raga,GauriP
91,raga,Gavati
92,raga,GorakhKalyan
93,raga,Gouri
94,raga,Gowri
95,raga,GujariTodiR
96,raga,Gunak(ri)ali
97,raga,Gunjikanada
98,raga,Hamir
99,raga,Hamsadhwani
100,raga,Hamsakankini
101,raga,HemaKalyan
102,raga,Hindol
103,raga,HussainiKanhada
104,raga,JagatMohini
105,raga,Jaijaivanti
106,raga,Jaikauns
107,raga,Jaiminikalyan
108,raga,Jait
109,raga,Jaithkalyan
110,raga,Jaladhar
111,raga,Janasamohini
112,raga,Jaunpuri
113,raga,Jhankar
114,raga,Jhinjoti
115,raga,Jog
116,raga,JogKauns
117,raga,Jogiya
118,raga,KabiriBhairav
119,raga,KafiR
120,raga,Kalavati
121,raga,Kalingda
122,raga,Kamod
123,raga,KaunsiBhairaviR
124,raga,KaunsiKanada
125,raga,Kedar
126,raga,KhamajR
127,raga,Khambavati
128,raga,Khambuji
129,raga,Khat
130,raga,Kirvani
131,raga,Kukubh
132,raga,Lachchha
133,raga,Lalit
134,raga,Lalitapancham
135,raga,Lalitpancham
136,raga,Lankadahansaarang
137,raga,Maand
138,raga,MadhmadSarang
139,raga,Madhmadisaarang
140,raga,Madhuvanti
141,raga,Malashri
142,raga,Malav
143,raga,Malgunji
144,raga,Maligaura
145,raga,Malkauns
146,raga,Maluha
147,raga,Malwi
148,raga,ManjhKhamajR
149,raga,Manohariamba
150,raga,MargBihag
151,raga,Maru
152,raga,MaruBihag
153,raga,MarvaR
154,raga,Meeramalhaar
155,raga,Megh
156,raga,MiyakiMalhaar
157,raga,Mohiniahi
158,raga,Multani
159,raga,Narayani
160,raga,Nat
161,raga,NatMalhar
162,raga,Natabihag
163,raga,Natbhairav
164,raga,Pahadi
165,raga,Palasi
166,raga,Pancham
167,raga,Paraj
168,raga,PatManjiri
169,raga,PatManjiriK
170,raga,Patdip
171,raga,Patdipki
172,raga,Pilu
173,raga,PoorviR
174,raga,Prabhat
175,raga,Pradeepaki
176,raga,Purba
177,raga,Puriya
178,raga,Puriyadhanashri
179,raga,PurvaKalyaan
180,raga,PurviSarang
181,raga,Rageshri
182,raga,RamPriya
183,raga,RamdasiMalhar
184,raga,Ramkali
185,raga,Reva
186,raga,Saajgiro
187,raga,SakhLaccha
188,raga,Samanthasarang
189,raga,Saraswati
190,raga,SaraswatiRanjani
191,raga,Sarparda
192,raga,Savan
193,raga,Saveri
194,raga,SaveriBhairav
195,raga,Shahana
196,raga,ShahanaKanada
197,raga,Shankara
198,raga,Shivabhairav
199,raga,ShivmatBhairav
200,raga,Shivranjani
201,raga,Shobhavari
202,raga,Shree
203,raga,ShuddhaBarari
204,raga,ShuddhaKalyaan
205,raga,ShuddhaNat
206,raga,ShuddhaSarang
207,raga,Shuklabilaval
208,raga,ShyamKalyaan
209,raga,ShyamKedar
210,raga,SindhuraChhaya
211,raga,Sindura
212,raga,Sohni
213,raga,Sorath
214,raga,SourashtraTank
215,raga,Sourashtrabhairav
216,raga,Sugharayi
217,raga,SughariKanhada
218,raga,Suha
219,raga,SurMalhar
220,raga,Tanki
221,raga,TilakKamod
222,raga,Tilang
223,raga,TodiRabheri
224,raga,Triveni
225,raga,UdanChandrika
226,raga,UdasiBhairav
227,raga,Uttarigunakali
228,raga,Vachaspati
229,raga,Vasanth
230,raga,Vasanthmukhari
231,raga,Vibhas
232,raga,Vihang
233,raga,Vijay
234,raga,ViranchMukhi
235,raga,Yaman(Kalyaan)
236,raga,YamanKalyan
237,raga,YamaniBilaval
238,svar,S
239,svar,r
240,svar,R
241,svar,g
242,svar,G
243,svar,m
244,svar,M
245,svar,P
246,svar,d
247,svar,D
248,svar,n
249,svar,N
250,thaat,Asavari
251,thaat,Bhairav
252,thaat,Bhairavi
253,thaat,Bilaval
254,thaat,Kafi
255,thaat,Kalyaan
256,thaat,Khamaj
257,thaat,Marva
258,thaat,Poorvi
259,thaat,Todi
260,jati,Audav-Audav
261,jati,Audav-Sampurna
262,jati,Audav-Shadav
263,jati,Mishra/Sankeerna
264,jati,Sampurna
265,jati,Sampurna-Sampurna
266,jati,Sampurna-Shadav
267,jati,Shadav-Audav
268,jati,Shadav-Sampoorna
269,jati,Shadav-Shadav
270,jati,Vakra
271,jati,mishra/Sankeerna
